post_id,post_text,comment_id,comment_text,like_count,created_at,platform,category,reply_count,parent_id,video_view_count,is_top_comment
N563-sdCXNk,Room Tour🤍 스물 여섯 첫 자취 | 채광 좋은 양창 오피스텔 | 6평 룸투어 | 원룸인테리어 | 뷰맛집 | 서울오피스텔,UgweLsqnfvMrDELblX54AaABAg,"채광이 들어오다 X
빛이 들어오다 O
채광이 좋다 O
볕이 들다 O",118,2024-03-24T23:58:34Z,youtube,vlog,0,,853155,1
N563-sdCXNk,Room Tour🤍 스물 여섯 첫 자취 | 채광 좋은 양창 오피스텔 | 6평 룸투어 | 원룸인테리어 | 뷰맛집 | 서울오피스텔,Ugyb1vmdWk-Zt-dnOlR4AaABAg,근데 솔직히 주변에 사는 사람들은 저 주변 풍경만 봐도 어느 건물에 몇 층인지도 알 수 있을 것 같은데 바깥 풍경은 웬만하면 안 보여주시는 게...,2305,2022-12-29T08:20:39Z,youtube,vlog,67,,853155,1
N563-sdCXNk,Room Tour🤍 스물 여섯 첫 자취 | 채광 좋은 양창 오피스텔 | 6평 룸투어 | 원룸인테리어 | 뷰맛집 | 서울오피스텔,UgwpuCLiJ8d6QJ7jTq54AaABAg,근데 진짜 집영상은 함부로 올리는 게 아님 진짜 누가 스토킹하고 그거 있었음 실제로 유튜버 누군지 기억이 안남 몇 년 안된 것 같은데,21,2023-05-01T17:23:43Z,youtube,vlog,0,,853155,1
N563-sdCXNk,Room Tour🤍 스물 여섯 첫 자취 | 채광 좋은 양창 오피스텔 | 6평 룸투어 | 원룸인테리어 | 뷰맛집 | 서울오피스텔,UgwQG83K5WpwKRf8UQR4AaABAg,기가 막히다 진짜,0,2026-07-03T14:13:50Z,youtube,vlog,0,,853155,0
N563-sdCXNk,Room Tour🤍 스물 여섯 첫 자취 | 채광 좋은 양창 오피스텔 | 6평 룸투어 | 원룸인테리어 | 뷰맛집 | 서울오피스텔,UgxR61yFniCPgopaZyZ4AaABAg,진심 공부 자극 오지네  하.. 진심 개 부럽다 라고 말하고 유튜브나 보고 있는 나..ㅋㅋ 낼 부터 공부 합니다 진짜..ㅜㅜ,33,2023-11-06T13:22:31Z,youtube,vlog,0,,853155,1
N563-sdCXNk,Room Tour🤍 스물 여섯 첫 자취 | 채광 좋은 양창 오피스텔 | 6평 룸투어 | 원룸인테리어 | 뷰맛집 | 서울오피스텔,UgyVdtdrQHoaaA9ntfh4AaABAg,관악구에 저렇게 좋은..오피스텔이라뇨...너무 좋아보여서 부러워요!!! 저도 곧 ...자취 시작하려는데...참고해야겠어요~ 특히 침구 너무 좋네요 ㅠㅠ,131,2022-12-31T14:52:26Z,youtube,vlog,0,,853155,1
N563-sdCXNk,Room Tour🤍 스물 여섯 첫 자취 | 채광 좋은 양창 오피스텔 | 6평 룸투어 | 원룸인테리어 | 뷰맛집 | 서울오피스텔,UgxaFTTrWjxQa-bBiK54AaABAg,담백하게 정리하시는 능력이 정말 멋집니다. 정리와는 담 쌓고 사는 저인데.. 많이 배우고 갑니다😊,4,2023-10-17T05:46:10Z,youtube,vlog,0,,853155,1
N563-sdCXNk,Room Tour🤍 스물 여섯 첫 자취 | 채광 좋은 양창 오피스텔 | 6평 룸투어 | 원룸인테리어 | 뷰맛집 | 서울오피스텔,UgxMmPN9VDr2ZwXNQGt4AaABAg,흰색과 깔끔함이 너무 좋아요👍🏻,3,2024-02-26T11:51:41Z,youtube,vlog,0,,853155,0
N563-sdCXNk,Room Tour🤍 스물 여섯 첫 자취 | 채광 좋은 양창 오피스텔 | 6평 룸투어 | 원룸인테리어 | 뷰맛집 | 서울오피스텔,UgwkLTQxF4OaBRezuCh4AaABAg,와.. 무슨 팝송썸넬인가 했는데 집임. 심지어 한국이네. 집처럼 겁나 이쁜 인생만 사세요.,2,2023-01-24T21:58:14Z,youtube,vlog,0,,853155,0
N563-sdCXNk,Room Tour🤍 스물 여섯 첫 자취 | 채광 좋은 양창 오피스텔 | 6평 룸투어 | 원룸인테리어 | 뷰맛집 | 서울오피스텔,UgyhVacp8s1dVucKpCl4AaABAg,헐 진짜 너무 이뻐요 ㅜㅜ 저도 꼭 나중에 스스로 돈 벌고 독립해서 이렇게 이쁘고 소중한 집 꾸며서 살고 싶네요 너무 잘 봤습니다😊😊,120,2022-12-26T17:44:17Z,youtube,vlog,0,,853155,1
N563-sdCXNk,Room Tour🤍 스물 여섯 첫 자취 | 채광 좋은 양창 오피스텔 | 6평 룸투어 | 원룸인테리어 | 뷰맛집 | 서울오피스텔,UgwP9-9Ey33rZQOSrC94AaABAg,시각맛집... 안이쁜게 없네요..♡,0,2024-01-29T16:57:56Z,youtube,vlog,0,,853155,0
